time,open,high,low,close,EMA Fast,EMA Slow,EMA Trend,BB Upper,BB Lower,SAR,FVG Long,Multi-TF FVG Long,Long,Grid Arb,Volume
1754870400,182.72,182.76,182.34,182.37,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2443.676
1754870700,182.38,182.43,181.97,182.01,NaN,NaN,NaN,NaN,NaN,182.76,0,0,0,0,1260.567
1754871000,182,182.07,181.77,181.98,NaN,NaN,NaN,NaN,NaN,182.76,0,0,0,0,2520.03
1754871300,181.97,182.84,181.97,182.73,NaN,NaN,NaN,NaN,NaN,181.77,0,0,0,0,2065.873
1754871600,182.74,183,182.51,182.62,NaN,NaN,NaN,NaN,NaN,181.77,0,0,0,0,2703.497
1754871900,182.63,183.08,182.62,183.06,NaN,NaN,NaN,NaN,NaN,181.8069,0,0,0,0,2581.603
1754872200,182.99,183.2,182.4,182.76,NaN,NaN,NaN,NaN,NaN,181.8641895,0,0,0,0,2166.311
1754872500,182.77,182.96,182.14,182.46,182.49875,NaN,NaN,NaN,NaN,181.94433813,0,0,0,0,2233.297
1754872800,182.46,182.56,182.16,182.16,182.42347222222222,NaN,NaN,NaN,NaN,182.0196778422,0,0,0,0,1977.2
1754873100,182.16,182.3,181.81,181.81,182.28714506172838,NaN,NaN,NaN,NaN,183.2,0,0,0,0,4354.784
1754873400,181.84,182.28,181.77,182.06,182.2366683813443,NaN,NaN,NaN,NaN,183.17915,0,0,0,0,1947.635
1754873700,182.04,182.06,181.54,181.56,182.08629762993445,NaN,NaN,NaN,NaN,183.1368755,0,0,0,0,1731.598
1754874000,181.57,181.85,181.32,181.57,181.97156482328234,NaN,NaN,NaN,NaN,183.0650161025,0,0,0,0,2291.023
1754874300,181.59,182,181.57,181.95,181.9667726403307,NaN,NaN,NaN,NaN,182.96031513635,0,0,0,0,1335.39
1754874600,181.97,182.33,181.93,182.15,182.00748983136833,NaN,NaN,NaN,NaN,182.861896228169,0,0,0,0,2818.556
1754874900,182.15,182.3,181.99,182.24,182.05915875773093,NaN,NaN,NaN,NaN,182.76938245447886,0,0,0,0,1568.755
1754875200,182.26,182.43,181.94,182.4,182.13490125601294,NaN,NaN,NaN,NaN,182.6824195072101,0,0,0,0,2747.258
1754875500,182.34,183.06,182.32,182.94,182.31381208801005,182.26833333333332,NaN,NaN,NaN,181.32,0,0,0,0,3448.577
1754875800,182.96,183.81,182.93,183.71,182.62407606845227,182.42008771929824,NaN,NaN,NaN,181.3461,0,0,0,0,3235.929
1754876100,183.73,183.85,183.21,183.84,182.894281386574,182.56955216989843,NaN,182.419,181.2077213367754,181.420017,0,0,0,0,3363.443
1754876400,183.82,183.84,183.38,183.56,183.04221885622422,182.6738098362249,NaN,182.4785,181.16971010089958,181.529366235,0,0,0,0,2522.26
1754876700,183.56,183.68,183.11,183.45,183.13283688817438,182.75551406399072,NaN,182.5505,181.19511850389526,181.633794754425,0,0,0,0,2585.228
